record,uuid,date,s2,s3,s4,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s6,s6r22oe,origcat,state,akc,alc,arc,azc,cac,coc,ctc,dec,flc,gac,hic,iac,idc,ilc,inc,ksc,kyc,lac,mac,mec,mdc,mic,mnc,moc,msc,mtc,ncc,ndc,nec,nhc,nmc,nvc,njc,nyc,ohc,okc,orc,pac,ric,scc,sdc,tnc,txc,utc,vac,vtc,wac,wic,wvc,wyc,s9,educat,s10,q1,q2,splitassignment1,pipeq3r1,pipeq3r2,pipeq3none,q3,q3r8oe,pipeq4r3,pipeq4r2,pipeq4none,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q5,q6,q7,q8r1,q8r2,q8r3,q8r4,q8r5,q8r6,q8r7,q8r8,q8r9,q8r10,q8r11,q8r12,q9,q10,q11,q12,q13,criminality,q14r1,q14r2,q14r3,q14r4,q14r5,q15,q16,q17r1,q18,q19,q20r1,q20r2,q20r3,q20r4,q20r5,q21,q71,q22,q23,q24,q25,q26,q27,q28,q29r1,q29r2,q29r3,q29r4,q29r5,q29r6,q30r1,q30r2,q30r3,q30r4,q30r5,q30r6,q30r7,q30r8,oaxaca_treatments,q31,q32,q33,q34,q35r1,q35r2,q35r3,q35r4,q35r5,q36,q37,q37r8oe,q38,q38r8oe,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,q50r1,q50r2,q50r3,q50r4,q50r5,q50r6,q50r7,q50r7oe,q51,q52r1,q52r2,q52r3,q52r4,q52r5,q52r6,q52r7,q52r8,q52r9,q52r10,q52r11,q52r12,q52r13,q52r14,q72,q53a,q53b,q54,q55,q56r1,q56r2,q56r3,q56r4,q56r5,q56r6,q56r7,q56r8,q56r9,q57,q58,q59,q60,q61,q62,q63r1,q63r2,q63r3,q63r4,q63r5,q63r6,q63r7,q64,q65,q66,q67,q68r1,q68r2,q68r3,q68r4,q68r5,q68r6,q68r7,q68r8,q69r1,q69r2,q69r3,q69r4,q69r5,q69r6,q69r7,q69r8,q69r9,q69r10,q69r11,q69r12,q69r13,q69r14,q69r15,q69r16,q69r17,q69r18,q69r19,q69r20,q69r21,q69r22,q69r23,q69r24,q69r25,q69r26,q69r27,q69r28,q69r29,q69r30,q69r31,q69r32,q69r31oe,q70,vlist,qtime,vmobiledevice,vmobileos,start_date,declang,weight
88,qqsghkbtq89menn8,4/22/25 18:18,2,1,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,6,3,1,26,1,1,1,0,0,2,,1,0,0,2,2,2,2,2,2,2,2,2,1,,1,0,0,0,0,0,0,0,0,1,,1,0,1,1,1,1,,1,0,0,0,1,0,2,1,4,1,3,0,0,0,0,1,1,1,2,2,1,,2,10,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,3,1,1,1,1,1,0,1,0,0,1,3,,,,3,1,2,2,4,4,4,4,4,1,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,0,0,0,0,0,0,0,0,1,,3,10,1,2,4,0,0,0,0,0,0,1,1,1,1,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78573,1,1440.99,6,6,4/22/25 17:53,english,1.045218
244,xz2nc5bbmy9a6atj,4/24/25 12:31,4,1,2,0,1,0,0,0,0,0,13,,1,11,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,24,1,1,1,0,0,5,,1,0,0,2,2,2,2,2,2,2,2,2,1,,2,0,0,0,0,0,0,0,0,0,,1,0,5,5,5,1,,1,0,0,0,1,0,1,1,7,2,4,0,0,0,0,1,1,1,2,1,2,,2,1,5,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,5,3,2,5,0,0,0,0,1,5,3,,,,3,3,3,1,4,5,5,4,4,1,3,,,,,,,,,,1,1,0,1,1,0,1,0,1,1,1,1,1,0,2,6,0,,,0,0,0,0,0,0,0,0,1,,3,8,1,3,4,0,0,0,0,1,0,0,1,1,2,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30519,1,1510.55,6,6,4/24/25 12:06,spanish,0.8710146
260,5qxf475j461qujry,4/24/25 13:02,5,1,2,0,1,0,0,0,0,0,13,,1,11,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,20,2,1,1,0,0,6,,1,0,0,2,2,2,2,3,3,3,2,2,1,,2,0,0,0,0,0,0,0,0,0,,1,0,1,1,1,1,,1,0,0,0,1,0,1,1,7,3,2,0,0,0,0,1,3,3,2,2,1,,1,5,4,2,2,2,1,2,1,0,0,0,0,0,0,1,0,4,5,5,1,5,1,0,0,0,0,5,3,,,,1,3,3,4,5,3,3,4,4,1,3,,,,,,,,,,1,1,0,0,1,0,1,1,0,1,1,1,1,0,3,4,0,,,0,0,0,0,0,0,0,0,1,,3,13,1,1,4,1,0,0,0,0,0,0,1,1,1,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30519,1,1638.62,6,6,4/24/25 12:34,spanish,0.9581161
285,cgbtevav2pdzb2tq,4/24/25 14:25,5,2,2,0,1,0,0,0,0,0,13,,1,5,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,34,1,1,1,0,0,8,se caso,1,0,0,3,2,2,2,2,2,1,2,2,4,,1,1,0,1,0,0,0,0,0,1,,0,0,5,5,5,1,,1,0,1,0,0,0,1,1,7,3,4,0,0,0,0,1,3,4,2,1,3,,1,2,2,2,3,3,2,2,2,0,0,0,0,1,0,0,0,1,3,4,2,4,0,0,0,0,1,5,1,,,,2,2,2,1,1,5,3,1,1,2,3,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,1,1,1,0,2,2,0,,,0,0,0,0,0,0,0,0,1,,3,4,1,1,2,1,0,0,0,0,0,0,1,2,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,92113,1,1981.88,6,6,4/24/25 13:50,spanish,0.9420023
382,sgrg5bsyf6kpedq3,4/25/25 13:32,3,1,2,0,1,0,0,0,0,0,13,,1,10,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,28,2,1,1,0,0,1,,1,0,0,3,2,2,2,3,2,2,2,2,1,,2,0,0,0,0,0,0,1,0,1,,1,0,5,4,4,1,,1,0,0,0,1,0,1,1,7,3,2,0,0,0,0,1,2,2,1,4,3,,2,4,4,2,2,2,1,2,2,0,0,0,0,0,0,0,1,3,3,2,2,4,0,0,0,0,1,1,3,,,,3,1,3,2,2,4,3,4,4,1,3,,,,,,,,,,1,0,0,0,1,0,1,0,0,1,1,1,0,0,2,4,0,,,0,1,0,0,0,0,1,0,0,1,3,12,1,2,4,0,0,0,0,0,1,0,1,1,2,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,32824,1,1968.71,6,6,4/25/25 12:58,english,0.7664929
615,zxz4g3bcguz17w4m,4/30/25 17:50,5,2,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,2,1,2,41,2,1,1,0,0,3,,1,0,0,2,2,2,2,2,2,2,2,2,4,,1,0,0,0,0,0,0,1,0,0,0,,0,5,5,5,1,,1,0,0,0,1,0,4,1,7,1,4,0,0,0,0,1,3,4,1,1,3,,4,2,4,1,2,3,2,2,2,0,0,0,0,0,1,0,0,3,2,5,2,4,0,0,0,0,1,2,4,,,,3,2,1,1,3,4,5,4,4,1,3,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,2,2,1,0,0,0,0,0,0,0,0,1,,3,4,2,3,4,0,0,0,0,1,0,0,,2,2,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78586,1,2400.6,6,6,4/30/25 17:08,spanish,1.266558
716,mq1ykxarkdbyc2cv,4/27/25 16:15,4,2,2,0,1,0,0,0,0,0,7,,4,10,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,26,2,1,1,0,0,3,,1,0,0,2,2,2,3,2,3,3,2,2,1,,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,1,,1,0,0,0,1,0,2,1,7,2,3,0,0,0,0,1,3,3,5,5,2,,3,5,3,2,3,3,2,2,1,1,0,0,0,1,0,0,0,2,3,3,1,1,0,1,1,0,0,3,3,,,,2,1,1,2,3,2,3,2,1,3,2,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,1,2,3,0,0,1,1,0,0,1,0,0,4,1,4,1,2,2,0,1,0,1,0,0,0,,1,1,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33010,9,1470.66,1,1,4/27/25 15:48,spanish,1.001657
806,dqqb5q3cuxkqfvye,4/27/25 19:45,4,1,2,0,1,0,0,0,0,0,9,,3,10,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,33,2,1,1,1,0,1,,1,0,0,2,3,2,2,2,2,3,2,2,1,,2,0,0,0,0,0,0,0,0,0,0,,1,5,5,5,1,,1,0,0,0,1,0,4,1,5,2,4,0,0,0,0,1,3,4,2,1,2,,3,9,3,3,2,1,2,1,3,0,1,0,0,0,0,0,0,1,3,3,2,3,0,1,0,0,0,5,3,,,,2,2,2,1,2,2,2,1,2,3,3,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,0,0,0,0,0,0,0,1,,3,6,2,4,1,1,0,0,0,0,0,0,,3,,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34746,9,1745.56,1,1,4/27/25 19:12,spanish,0.9945841
868,hpafc4dw8zmva090,4/27/25 21:41,3,2,2,0,1,0,0,0,0,0,7,,4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,3,1,2,4,1,1,1,0,0,4,,1,0,0,2,3,1,2,3,3,2,2,2,1,,1,0,0,0,0,0,0,0,0,0,0,,1,4,4,4,1,,1,0,0,0,1,0,2,1,7,1,1,0,0,0,0,1,3,4,1,1,2,,3,2,4,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,5,5,3,1,0,0,0,0,1,6,3,,,,2,2,2,1,4,5,4,4,4,1,3,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,1,,4,1,2,4,2,0,0,0,0,0,0,1,,2,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77063,9,733.43,1,1,4/27/25 21:29,spanish,0.7947029
921,bmeecbr90wfzt88f,4/28/25 0:45,5,2,2,0,1,0,0,0,0,0,8,,5,16,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,8,2,1,1,0,0,1,,1,0,0,2,2,3,2,2,1,1,2,2,1,,2,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,,1,0,0,0,1,0,2,1,7,2,3,0,0,0,0,1,3,1,2,3,2,,1,5,4,2,2,2,1,2,2,0,1,0,0,0,1,0,0,1,3,3,3,2,0,0,0,0,1,5,2,,,,5,1,3,3,4,5,4,3,3,1,3,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,1,,1,3,2,3,3,1,0,0,0,0,0,0,,4,,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51050,9,1779.06,1,1,4/28/25 0:15,spanish,1.034769
